mask_id,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#0.0PUB#OWN#<50k,,5000.0,4882.545416666671,4763.99227082753,4644.3302875359395,4523.54909574279,4401.63822739769,4278.587116541729,4154.385098391671,4029.0214084156896,3902.48518140038,3774.765450509121,3645.85114633152,3515.73109592409,3384.38402184185,3251.8084476301397,3117.99288302487,2982.9257302925403,2846.59528322511,2708.9897261253896,2570.09713278298,2429.90546544066,2288.40257375105,2145.5761937235598,2001.41394666147,1855.9033380890894,1709.03175666885,1560.78647310829,1411.15463905681,3360.12328599213,7658.27854909628,7349.254898112046,7037.321689029681,12222.451523391037,10243.018994696577,33595.40348362452,42372.6554406696,39262.97706722751,37790.666944970566,34659.806819372556,33644.86645572947,38620.801245125214,45739.5390910183,44442.926946737214,43138.86999509404,45823.303535820334,44401.989289493155,55668.08986401188,57921.68877486144,66986.61736977361,77149.94222424552,74631.14931046592,72089.51365863494,69524.8277382381,76936.8821297571,116965.38217410936,113108.79047931742,166668.7044743525,200263.37381674856,213451.30836166925,227328.6035992537,266056.00101982424,308207.9174539319,333697.8896620253,374082.9371779474,411732.70288812235,482171.4039129707,495001.6461912586,569357.2457221394,629387.854397793,675634.1636226102,772094.855280295,828776.8140821196,898093.1255679983,961485.4637072631,953026.9607197947,992271.4481035188,1051296.040845876,1118963.5342142896,1118343.8062498642,1148339.8066025556,1164970.4098302578,1167580.6521929333,1195904.801198117,1234810.9803069714,1356461.8003027749,1426671.3132770553,1393866.0378460742,1486969.231675252,1510548.861841871,1524487.2672904183,1557961.064844653,1592701.2062553132,1575312.447525168,1462480.7897114248,1345318.4211655683,<50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,0.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#0.0PUB#OWN#>50k,,,,,11000.0,10741.789583333331,10481.155263338369,10218.074070221619,9952.52281446977,34684.47808472863,36897.00124566145,35954.939344411396,35004.28511166277,34044.95988166546,38176.884265512716,37081.41564446466,43475.858930396476,53082.868345549155,51523.89170886473,58900.449120963014,57751.21531250206,56670.00253105262,55578.42557880954,54476.384591459675,59863.778737618384,64587.16245941958,75180.62826896195,87417.73430025554,69947.65047920174,67790.76489514607,65613.00458978614,63414.16688220477,87697.40854201061,128596.50811827496,124813.58971086348,120995.1976563252,136690.99804409477,153743.77839185818,148849.16059103986,143908.73858374986,163922.20412577837,147130.01900015693,138520.16952356987,132831.39794613933,159863.97423818384,186999.5434926714,243557.49881588106,231835.46619803598,261164.4890738152,276452.3600761202,295757.7522851701,285577.15950906253,272230.5487137044,262310.42444841505,265367.8022491651,310954.2199067957,342400.27586621325,353710.1377471429,364836.27946388716,381780.9199039911,397294.34392540995,410919.503631197,423966.53532589297,604879.2056706229,700564.0739427947,726959.0605562269,752495.241167331,924126.8599931654,1182111.4110573516,1398049.9979576762,1577559.6812071064,1787943.5658511966,1972278.0695107211,2094219.1688041028,2193378.651779573,2315893.1816671873,2674361.845066006,2946541.981287078,3072857.3417651355,3181481.1124928216,3405061.3098057825,3504888.9294643006,3621597.5241971863,3755441.9764460097,3989452.509754709,4327301.678676853,4580782.816631123,4590057.294514928,5076075.826832642,5252669.009980028,5199991.841713268,5529437.495649614,5633252.200962051,5624392.261099939,5383619.828183535,5063954.797645517,>50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,0.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#0.0PUB#RENT#<50k,,3500.0,3418.95933333333,3337.09669819822,18479.40375764248,18038.895840155,17594.1741512039,17145.178249899032,24641.877114519488,30145.580675428297,54348.32387925971,52954.06088818182,55046.90229606982,53543.85594410916,52026.933922430726,50496.00773256944,54950.9476822431,73731.24326299304,75969.02696328236,73710.77695626448,71431.84188123749,69132.03172238426,70311.15471324221,67887.62961219196,81941.84208938276,79091.32599078868,76214.2702261024,82310.42678837187,83918.95609451347,80636.43212757629,95323.29069887579,91358.80376830361,111545.25387927078,130405.96968040508,170125.873632919,166012.04603362674,160000.90001039888,150755.8802663961,175058.90463569012,182604.32402818985,175859.2655163732,173568.95133197843,183401.36198305816,184816.12554898762,176721.1853653771,191553.4276689142,184033.17938590824,197089.38912918366,177414.4342979312,183904.11607537523,193604.0386298815,194818.58769255815,191942.00161429655,219270.32162765737,294336.4307405668,326829.67453466996,375095.2953224441,412596.5205061158,556447.9477388479,615131.1766802653,666803.5830078224,724451.6294818824,812318.3941637214,948827.6410401199,1100645.9518903834,1153561.8515894338,1210747.8687153868,1212749.5340488395,1268788.4100603892,1403504.3690543524,1402508.677814718,1527351.951231386,1716342.6118258587,1790777.3660629545,1933052.2576065804,1977560.3905191326,2115633.689774386,2182008.616774759,2212944.8487068326,2250369.2254638583,2262152.616261252,2368658.327697076,2436893.325046865,2574264.204310967,2772437.0086927246,3098590.412057668,3185194.0028795986,3153370.685876205,3538825.2665478927,3813870.3685110356,3787994.5716492096,3967486.0514297225,4046728.444189801,4136021.1034698747,3936850.633061958,3686652.5878744586,<50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,0.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#0.0PUB#RENT#>50k,,,,,,15000.0,23642.510000000002,23069.5225023333,47491.504878145,77325.02968865793,86770.60388848357,91581.71295574075,96706.6857670252,94131.15513613092,91531.81315169032,88908.43912306218,86260.81030918942,91588.70189950237,100705.54032797893,97509.27395057936,88255.11748449245,85473.55716100075,82669.20936012462,90022.95830020575,89073.22710227747,85533.5250308286,101961.13131625539,110090.26498285723,105698.6818938714,118266.01720122679,113269.0897883805,107188.86146136491,180156.70178774852,207965.2387596332,242271.75698823816,232491.638070383,225121.7626431439,226518.7686142046,250381.7772561126,253410.37952928932,256070.20968835033,246082.66927499324,236505.0141049268,233322.50625933625,227046.10906273924,279719.3036808179,295356.2389727843,288549.0960246546,296932.2883512399,358305.0192952399,355760.06134829426,350863.2648787576,355671.31358747586,355686.70913551777,454049.6708645269,516094.8186869435,615088.9880690791,688374.7438042669,763863.132283753,827947.5075746715,889300.5801515963,896644.5476634523,946069.6163195121,1066202.7632081227,1123397.4933613772,1178359.3617404818,1301966.2734938953,1432608.3324729386,1708472.822581816,2033089.439313541,2333625.828535025,2449032.5405082456,2695680.631532786,2848486.446846226,3183083.2044184767,3349475.471489502,3580148.6807690575,3823815.008292136,3983325.8295858535,4149288.9455362028,4220989.651860902,4433643.551495794,4587019.616576025,4651587.950783564,4775356.400281911,5376379.010162427,5618803.225328048,5657962.925068458,6317889.348268195,6576959.227780982,6534569.887219998,7034377.792866854,7233267.594420033,7304540.444102644,6933680.633109744,6534020.998435608,>50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,0.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675.0,3587.905625,3500.03828742188,3411.3911272227397,3321.95722347685,3231.7295938352004,3140.70119398049,10248.86491707707,9989.373593216129,19327.37490485592,18837.03453490862,18192.04166012353,17690.837027407637,17184.875660203412,26674.11230291018,26025.34409526607,40370.21646040044,39355.83696100408,38331.697107295106,44914.92276126621,55639.25905566246,89418.93965488205,104739.40743472209,109899.56187328738,106844.8370148279,113210.15877623786,119872.43917365487,120766.37774174818,123019.15576905233,119094.09744131743,119963.73334814489,160643.0109070072,173488.60670217828,204048.10526462807,199558.43457320254,193568.59708969056,203947.9366180296,213848.0490236528,201564.180099309,209746.92147181803,206434.9725948229,205965.1505511901,180736.69545429118,168281.77016010165,<50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,1.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#1.0PUB#OWN#>50k,,,,,,,,,,,3700.0,3613.651666666671,3526.46431536111,3438.4297936253693,3349.5398697867604,3259.78623218819,3169.1604884109497,9677.65416449001,9429.27370412164,9178.58770323835,8925.574733375352,8670.213166642261,18212.481173864682,17725.58417270842,17233.965008396815,16737.57775752097,16236.376048873919,15730.313059072781,15219.34150813834,14703.41365503092,14182.48129314284,12823.625745746429,12285.02120964764,10741.19686801243,8407.70161729133,8151.636058527672,7892.9649686872,7631.66183583983,5881.149214178051,5614.50137771962,5345.14033286326,5073.03847203523,4798.1679067478,4520.50046474094,14240.007687094789,13718.65749197958,13192.36742623678,12661.090379638392,12124.77878985551,11583.38463809364,11036.85944468564,10485.154264641918,9928.21968315729,9366.005811074321,8798.462280302592,8225.538239193429,7004.22749173004,6740.33569097107,6474.163425233879,6205.690987500268,5934.898500450589,17661.76591499198,17099.76300877404,16532.95360002483,15961.29657706404,21284.75047653205,20562.40681371447,46833.89740839731,63961.55295941248,71148.48008578258,91910.37284820472,181387.12394856647,225785.17205883728,277955.91670459934,336157.0238407115,325778.1631518762,373027.9470316211,374518.8208136621,367747.82748013607,418494.1699765363,451157.8064902682,567071.7863583253,611961.3023259011,616548.2891336309,695882.6936485316,747475.6222389562,765152.1266260117,737710.2347577888,774565.6111902402,800486.1490983607,774296.0537388409,837499.8268875057,841630.2992788465,794580.5298659113,742082.9855263213,676133.6034087179,>50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,1.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,2875.0,2807.515,2739.395641,2670.6359600254,2601.2299380496397,2531.1714994673107,2460.4545115623,2389.07278397099,2317.02006814031,2244.29005678083,2170.87638331457,2096.77262131773,2021.9722839581202,1961.4688234273199,1870.39663036754,1793.4683586929898,1715.81696126471,1637.4356407006,1558.3175357231796,1478.4557205589801,1397.8432043322302,1316.47293045296,1234.33777599921,1151.43055109361,1067.7439982738902,983.2707918576621,898.003537301124,811.934770551755,725.0569573949409,637.3624927944529,548.843700226721,6384.492831008852,15754.867688620334,15300.203823096497,14983.182357524869,14663.047689950889,14339.788231273,14123.78525248569,14303.9037238572,13925.646061898071,13543.64202902904,13157.854515308421,12768.24604315196,21974.77876369002,21354.96445308902,29828.96776383609,28985.85701886264,28134.31013868918,27274.242698435053,31130.569428204697,30143.716704628583,29146.9792185693,61040.25794517254,59261.09286741594,67464.0431301669,70910.16560046368,99204.69714136711,138808.8369997219,141234.5481461888,137074.4910470012,171331.10111427048,166240.03007752442,176355.26815659236,184672.28383259618,218517.2441313989,220426.08520398787,233574.2055243897,257070.2294427636,249015.07775626247,297364.75406920095,338012.04024782625,339787.73305433604,362643.25144340436,407189.19283665443,415869.7857613403,419942.2604989547,436887.39815617586,425696.785933397,430468.05635103513,413029.27245738887,391487.04995134106,<50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,1.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#C#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400.0,14059.21,13715.3699295,13368.452490369,13018.4301401578,12665.2750899122,12308.959301967,11949.4544877196,11586.732105384699,11220.763357727801,10851.5191897795,10478.970286528,10103.0870705925,9723.83969987427,9341.19806518814,8955.131787871569,8565.61021737303,8172.60242881851,7776.077220556441,7376.00311168042,7376.00311168042,6568.6935673795,6157.81337480755,11743.25580451208,58310.957943962465,56638.604883060914,54950.836471472576,78647.50997589025,84131.01800209416,108609.66203126869,105439.00560731647,122238.53544788218,130540.4701361504,132624.61590132094,154627.14750800555,203277.8734100906,252313.31485321984,272577.6842104505,322263.0630115386,370896.7372125426,370409.94766280655,483342.44806523825,504201.5261934319,501667.5372283658,522920.1577035098,544182.4866583507,542157.8442211845,531945.1408475168,534905.8877626453,568374.1281993587,549483.3062072292,510069.83361795655,>50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,1.0PUB,C,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#D#0.0PUB#OWN#<50k,,,,6500.0,6345.08333333333,6188.83954722222,6031.25727267676,5872.3250433126905,22212.03129451707,31659.86686260676,30867.209997125596,30067.465194721146,29260.569009589202,33245.2174274278,32498.538369355636,31745.019698189288,30425.658901552728,30858.272097883317,30070.495614801246,40195.49747894664,39123.21535088579,38040.929361168804,37129.17116676629,36208.76841975574,44707.76330227658,42930.42165240665,36403.853896281646,74823.21682700102,76747.84432706931,74762.53153692347,73757.89585529275,71134.32827452924,104244.83509920434,101125.44166134372,102635.06061955956,111574.39044643013,107960.12063005588,110561.5296865958,141579.56334309335,131614.49808948956,141736.06628067925,149088.00107594882,144121.7864132756,147364.2995456207,161908.303292703,168253.40010081296,178201.4437586097,178172.01344598777,194331.38556677438,202170.992889693,206056.15045384484,213720.33374191678,215898.71705629816,207441.6550642057,229748.62112609294,248330.58282630707,242490.73259492277,243352.88340018597,299094.0805479257,338396.20559389994,396142.61294499354,520763.23703057494,624980.800195252,769142.890742893,903485.648528375,993840.5513159062,1030261.4745413756,1070165.0829749377,1213440.0837075661,1207930.6885659639,1279091.4589007366,1375933.1072167454,1513170.1926832255,1682100.62261728,1826360.405112224,1910895.292681613,1986554.7899867059,1992419.283423656,1954213.615462949,1970643.72578717,2065608.6026985517,2078444.074055943,2047452.0259727621,2203000.2594980057,2275941.3453673255,2573641.04397114,2784926.2697730367,2792155.9205179927,2905663.2578840223,3099031.8583955397,3088230.48643238,3356750.249522797,3331146.762670924,3469528.9114373312,3295098.31038857,3107172.1901924433,<50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,0.0PUB,D,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#D#0.0PUB#OWN#>50k,,,,,,,20000.0,58525.6,57124.1450866667,55710.202514834295,70983.66087432421,62901.5827597734,61204.457134858894,59620.98658255712,63698.27970846355,62579.991114245924,60604.50399981568,66422.82350594639,126046.61066656059,130498.29117335464,126730.4908639125,137119.74899711207,133150.93485826786,144523.7375099042,255714.54866920368,276673.16989129654,308703.351795516,330322.2329084191,374285.20068765193,401512.2755392536,443386.9254913604,482296.9735260391,503296.26903052034,524131.13339151785,612950.0424957045,697135.8178495435,685574.8163301356,682948.4218612574,730480.4003328142,757941.5183202212,733250.4727710218,709121.7976938105,719239.357478598,679087.2281462459,723621.1318854989,716465.7782373789,741157.4253194348,735084.9546434763,793262.1116420378,815625.900177499,833572.2394067447,904557.5525362589,890773.3354384818,914040.8012319639,911950.5509039857,954718.9266544171,1000888.7236707857,1039122.756855695,1045510.4202493242,1050842.3435284253,1031047.859413103,1122070.4639399718,1365016.944135689,1593071.3832132388,1788537.4621431702,2096082.8637646548,2337951.4742976427,2671740.5357940765,3132603.4459428205,3458581.1870905603,4007447.583455869,4199676.858291781,4760719.757102982,5232176.000557954,5617353.5273181,5949345.169053663,6325717.19541708,6516935.902671808,6713524.24547565,6856598.987137388,7079434.311678535,7294661.02266342,7837255.196777083,8098569.659150385,8404550.835297817,9592039.050017174,10080076.215654891,10298228.603085736,11839235.465147102,12544546.215148127,12436037.581821347,13523645.113175057,13663516.229746798,13758445.409456214,13008435.09402844,12278578.795267249,>50k,0.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,0.0PUB,D,36M
